HAUPTNR,TITEL,JAHR,URL,NAMIDENT,KURZFORM
12557515,"Stromschnellen am St. Mary-Fluss",1868,http://server1102.cs.technik.fhnw.ch/bilder/92446E1.jpg,"Buchser, Frank","Auktionshaus Galerie Vogler AG, Basel"
10944006,Backslash,2000,http://server1102.cs.technik.fhnw.ch/bilder/85129D1.jpg,"Danuser, Hans",
12493222,"S. J. Venner der Stadt Bern",1694,http://server1102.cs.technik.fhnw.ch/bilder/91999D1.jpg,"Dünz, Johannes","Dobiaschofsky Auktionen, Bern"
12482443,"Femme nerveuse",1952,http://server1102.cs.technik.fhnw.ch/bilder/91691D1.jpg,"Linck, Walter","Dobiaschofsky Auktionen, Bern"
10170650,"Die Gefilde der Seligen",1877,http://server1102.cs.technik.fhnw.ch/bilder/27175E1.jpg,"Böcklin, Arnold","Museum Oskar Reinhart, Winterthur"
12480597,"Im Spiel der Wellen",,http://server1102.cs.technik.fhnw.ch/bilder/91756E1.jpg,"Böcklin, Arnold","Koller Auktionen, Zürich"
10172531,"Kornfeld mit badenden Mädchen",1863,http://server1102.cs.technik.fhnw.ch/bilder/27136DS1.jpg,"Böcklin, Arnold","Museum Stiftung Oskar Reinhart, Winterthur"
12517491,"Altrömische Maifeier",,http://server1102.cs.technik.fhnw.ch/bilder/92203E1.jpg,"Böcklin, Arnold","Galerie Koller, Zürich"
12479294,"Bruststück eines schwarzen Mädchens",1925,http://server1102.cs.technik.fhnw.ch/bilder/91847D1.jpg,"Müller, Albert","Christie's Zürich"
12477237,"Das grüne Tal",1925,http://server1102.cs.technik.fhnw.ch/bilder/91844D1.jpg,"Müller, Albert","Christie's Zürich"
12482338,"Schneetreiben im Entlebuch",1902,http://server1102.cs.technik.fhnw.ch/bilder/91686D1.jpg,"Bachmann, Hans","Dobiaschofsky Auktionen, Bern"
12486249,"La vieille marine",1955,http://server1102.cs.technik.fhnw.ch/bilder/91904D1.jpg,"Buchet, Gustave Louis","Sotheby's Zürich"
12479412,Blumen,1949,http://server1102.cs.technik.fhnw.ch/bilder/91852D1.jpg,"Buchet, Gustave Louis","Christie's Zürich"
12477086,"Corbeille de fruits",1958,http://server1102.cs.technik.fhnw.ch/bilder/91841D1.jpg,"Buchet, Gustave Louis","Christie's Zürich"
12485987,"Place Dauphine",1931,http://server1102.cs.technik.fhnw.ch/bilder/91986D1.jpg,"Chavaz, Albert","Dobiaschofsky Auktionen, Bern"
12493644,"Portrait de Célestine Varone",1940,http://server1102.cs.technik.fhnw.ch/bilder/92007D1.jpg,"Chavaz, Albert","Dobiaschofsky Auktionen, Bern"
12493178,"Sommerliche Seeuferpartie mit Schilf",1864,http://server1102.cs.technik.fhnw.ch/bilder/91998D1.jpg,"Preiswerk, Theophil","Dobiaschofsky Auktionen, Bern"
12486025,"Der Aarefischer",1949,http://server1102.cs.technik.fhnw.ch/bilder/91987D1.jpg,"Mühlenen, Max von","Dobiaschofsky Auktionen, Bern"
12493096,"Liegender Akt im Grünen",1924,http://server1102.cs.technik.fhnw.ch/bilder/91809D1.jpg,"Mühlenen, Max von","Dobiaschofsky Auktionen, Bern"
12526493,"Die farbige Stadt, Ausstellung 1927",1927,http://server1102.cs.technik.fhnw.ch/bilder/92162D1.jpg,"Brügger, Arnold","Dobiaschofsky Auktionen, Bern"
