HAUPTNR,TITEL,JAHR,URL,NAMIDENT,TITEL
6005162,"Schnee im Engadin",1907,http://server1102.cs.technik.fhnw.ch/bilder/013211E1.jpg,"Hodler, Ferdinand","Ferdinand Hodler: A biographical note"
6005315,Herbstabend,1892,http://server1102.cs.technik.fhnw.ch/bilder/716CE1.jpg,"Hodler, Ferdinand","Ferdinand Hodler: A biographical note"
6004796,"Die Schynige Platte",1909,http://server1102.cs.technik.fhnw.ch/bilder/071425E1.jpg,"Hodler, Ferdinand","Ferdinand Hodler: A biographical note"
6005005,"Genfersee mit Mont-Blanc am frühen Morgen",1918,http://server1102.cs.technik.fhnw.ch/bilder/9264E2.jpg,"Hodler, Ferdinand","Ferdinand Hodler: A biographical note"
6004884,"Der Niesen an einem Regentag",1910,http://server1102.cs.technik.fhnw.ch/bilder/9177CE1.jpg,"Hodler, Ferdinand","Ferdinand Hodler: A biographical note"
6004772,"Die Lawine",1887,http://server1102.cs.technik.fhnw.ch/bilder/019345E1.jpg,"Hodler, Ferdinand","Ferdinand Hodler: A biographical note"
6006463,"Bildnis Augustine Dupin",1885,http://server1102.cs.technik.fhnw.ch/bilder/44702CE1.jpg,"Hodler, Ferdinand","Ferdinand Hodler: A biographical note"
6008211,"Heilige Stunde",1907,http://server1102.cs.technik.fhnw.ch/bilder/070117CE1.jpg,"Hodler, Ferdinand","Ferdinand Hodler: A biographical note"
6007642,"Blick ins Unendliche, Einzelfigur",1914,http://server1102.cs.technik.fhnw.ch/bilder/071712E1.jpg,"Hodler, Ferdinand","Ferdinand Hodler: A biographical note"
6008868,"Der zornige Krieger",1883,http://server1102.cs.technik.fhnw.ch/bilder/044700E1.jpg,"Hodler, Ferdinand","Ferdinand Hodler: A biographical note"
6008011,Ergriffenheit,1900,http://server1102.cs.technik.fhnw.ch/bilder/70115CE1.jpg,"Hodler, Ferdinand","Ferdinand Hodler: A biographical note"
6011571,"Heilige Stunde",1907,http://server1102.cs.technik.fhnw.ch/bilder/73757CE1.jpg,"Hodler, Ferdinand","Ferdinand Hodler: A biographical note"
9842145,"Weib am Bache",1905,http://server1102.cs.technik.fhnw.ch/bilder/078444CE1.jpg,"Hodler, Ferdinand","Ferdinand Hodler: A biographical note"
6008206,"Heilige Stunde",1906,http://server1102.cs.technik.fhnw.ch/bilder/42847DS1.jpg,"Hodler, Ferdinand","Ferdinand Hodler: A biographical note"
6006273,"Bildnis Valentine Godé-Darel",1912,http://server1102.cs.technik.fhnw.ch/bilder/001228E1.jpg,"Hodler, Ferdinand","Ferdinand Hodler: A biographical note"
