HAUPTNR,TITEL,JAHR,URL,NAMIDENT,AUSST_DATUM,AUSST_ORT,AUSST_TITEL
6005162,"Schnee im Engadin",1907,http://server1102.cs.technik.fhnw.ch/bilder/013211E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6005315,Herbstabend,1892,http://server1102.cs.technik.fhnw.ch/bilder/716CE1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6004796,"Die Schynige Platte",1909,http://server1102.cs.technik.fhnw.ch/bilder/071425E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6005005,"Genfersee mit Mont-Blanc am frühen Morgen",1918,http://server1102.cs.technik.fhnw.ch/bilder/9264E2.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6005789,"Der Mäher",1910,http://server1102.cs.technik.fhnw.ch/bilder/026466E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6005790,"Sinnender Greis am Tisch",1885,http://server1102.cs.technik.fhnw.ch/bilder/027190E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6006426,"Die Pension",1879,http://server1102.cs.technik.fhnw.ch/bilder/001582E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6006345,"Bildnis Ulrich Wille",1915,http://server1102.cs.technik.fhnw.ch/bilder/000167E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6006841,"Die Andacht",1881,http://server1102.cs.technik.fhnw.ch/bilder/14528E2.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6006090,"Bildnis Willy Russ-Young",1911,http://server1102.cs.technik.fhnw.ch/bilder/7824CE1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6006851,"Aufgehen im All",1892,http://server1102.cs.technik.fhnw.ch/bilder/019350CE1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6007642,"Blick ins Unendliche, Einzelfigur",1914,http://server1102.cs.technik.fhnw.ch/bilder/071712E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6008491,Linienherrlichkeit,1909,http://server1102.cs.technik.fhnw.ch/bilder/038832E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6008669,"Die Wahrheit",1903,http://server1102.cs.technik.fhnw.ch/bilder/023098CE1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6011571,"Heilige Stunde",1907,http://server1102.cs.technik.fhnw.ch/bilder/73757CE1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
9842145,"Weib am Bache",1905,http://server1102.cs.technik.fhnw.ch/bilder/078444CE1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6008360,"Die Liebe, Studie",1907,http://server1102.cs.technik.fhnw.ch/bilder/046182E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
9905410,Anbetung,1894,http://server1102.cs.technik.fhnw.ch/bilder/079249CE1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6006237,"Bildnis Mathias Morhardt",1913,http://server1102.cs.technik.fhnw.ch/bilder/061421E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6006417,"Bildnis Louise Delphine Duchosal (Mädchen mit der Narzisse)",1885,http://server1102.cs.technik.fhnw.ch/bilder/025554E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6006688,"Die Kunst",1897,http://server1102.cs.technik.fhnw.ch/bilder/51244CE1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6006450,"Bildnis Gertrud Müller",1911,http://server1102.cs.technik.fhnw.ch/bilder/41527E3.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6006273,"Bildnis Valentine Godé-Darel",1912,http://server1102.cs.technik.fhnw.ch/bilder/001228E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6006467,"Bildnis Emma Schmidt-Müller",1915,http://server1102.cs.technik.fhnw.ch/bilder/48676E2.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6006402,"Bildnis Berthe Hodler-Jacques",1898,http://server1102.cs.technik.fhnw.ch/bilder/15500DS1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6007859,"Die Empfindung",1911,http://server1102.cs.technik.fhnw.ch/bilder/011047E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6008346,"Die Lebensmüden",1892,http://server1102.cs.technik.fhnw.ch/bilder/8720E2.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6005608,"Selbstbildnis (Der Studierende)",1874,http://server1102.cs.technik.fhnw.ch/bilder/000713CE1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6005615,Selbstbildnis,1916,http://server1102.cs.technik.fhnw.ch/bilder/001897E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6005741,"Der Mäher",1878,http://server1102.cs.technik.fhnw.ch/bilder/007820E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6006302,"Bildnis der kranken Valentine Godé-Darel",1914,http://server1102.cs.technik.fhnw.ch/bilder/41533E2.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6007981,"Entzücktes Weib",1911,http://server1102.cs.technik.fhnw.ch/bilder/41528E2.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6008006,Ergriffenheit,1894,http://server1102.cs.technik.fhnw.ch/bilder/053612E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6008157,"Der Frühling",1910,http://server1102.cs.technik.fhnw.ch/bilder/017772E2.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6007270,"Die Schlacht bei Murten",1917,http://server1102.cs.technik.fhnw.ch/bilder/000205CE1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6011796,Schwinger,1895,http://server1102.cs.technik.fhnw.ch/bilder/008731E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6004848,"Thunersee mit Stockhornkette",1904,http://server1102.cs.technik.fhnw.ch/bilder/51248DS1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6008481,"Lied in der Ferne",1914,http://server1102.cs.technik.fhnw.ch/bilder/61518CE1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
