HAUPTNR,TITEL,JAHR,URL,NAMIDENT,KURZFORM
11680990,Urbanomouth,1971,http://server1102.cs.technik.fhnw.ch/bilder/87951CE1.jpg,"Moser, Wilfrid","Museum zu Allerheiligen, Schaffhausen, P 342"
9889026,"Der Rheinfall vom Zürcher Ufer aus",1780,http://server1102.cs.technik.fhnw.ch/bilder/62557C1.jpg,"Schalch, Johann (Jan) Jakob (Jacob)","Museum zu Allerheiligen, Schaffhausen, 568"
10024039,"Ein Reiter führt sein Pferd vor",1770,http://server1102.cs.technik.fhnw.ch/bilder/19861C1.jpg,"Schalch, Johann (Jan) Jakob (Jacob)","Museum zu Allerheiligen, Schaffhausen, 707"
9951111,"Bestrafung des kleinen Diebes",1888,http://server1102.cs.technik.fhnw.ch/bilder/62563C1.jpg,"Girardet, Léopold-Henri","Museum zu Allerheiligen, Schaffhausen"
9972899,"Entwurf für das Mittelfeld einer Scheibe mit einem Rheinschiff vor einer Stadt mit Anklängen an Schaffhausen",1618,http://server1102.cs.technik.fhnw.ch/bilder/23138S1.jpg,"Kübler, Werlj (der Jüngere) > Kübler, Werner (Sohn, der Jüngere)","Museum zu Allerheiligen, Schaffhausen"
13919383,"Bildscheibe mit der Parabel vom Stäbebrechen und dem Wappen Kaspar Kellers",1607,http://server1102.cs.technik.fhnw.ch/bilder/1404020008D1.jpg,"Kübler, Werlj (der Jüngere) > Kübler, Werner (Sohn, der Jüngere)","Museum zu Allerheiligen, Schaffhausen"
9972924,"Entwurf für das Mittelfeld einer Scheibe mit allegorischer Darstellung (Der christliche Streiter)",1615,http://server1102.cs.technik.fhnw.ch/bilder/23232S1.jpg,"Kübler, Werlj (der Jüngere) > Kübler, Werner (Sohn, der Jüngere)","Museum zu Allerheiligen, Schaffhausen"
6002640,Böckligumpen,1866,http://server1102.cs.technik.fhnw.ch/bilder/62565C1.jpg,"Anker, Albert","Museum zu Allerheiligen, Schaffhausen"
9884909,"Der blinde Belisar mit seinem jugendlichen Führer",1859,http://server1102.cs.technik.fhnw.ch/bilder/64617S1.jpg,"Oechslin, Johann Jakob (Jacob)","Museum zu Allerheiligen, Schaffhausen, P 225"
10006539,"Scheibenriss: Hase, von Hunden gestellt",1574,http://server1102.cs.technik.fhnw.ch/bilder/23231S1.jpg,"Plepp, Hans Jakob (Johann Jakob)","Museum zu Allerheiligen, Schaffhausen, B 68"
12527977,Abgrund,2003,http://server1102.cs.technik.fhnw.ch/bilder/92254D1.jpg,"Müller, Markus Augustinus > Müller, Markus","Museum zu Allerheiligen, Schaffhausen"
9937252,"Bildnis Johannes von Müller",1797,http://server1102.cs.technik.fhnw.ch/bilder/62558C1.jpg,"Diock, Felix Maria > Diogg, Felix Maria","Museum zu Allerheiligen, Schaffhausen"
10231367,"Fisch, Glas und Zitrone",1926,http://server1102.cs.technik.fhnw.ch/bilder/23287E1.jpg,"Gubler, Max","Museum zu Allerheiligen, Schaffhausen, Inv. 1489"
10245189,Winterlandschaft,1947,http://server1102.cs.technik.fhnw.ch/bilder/21876E1.jpg,"Gubler, Max","Museum zu Allerheiligen, Schaffhausen"
10233622,"Mutter und Kind",1932,http://server1102.cs.technik.fhnw.ch/bilder/23294E1.jpg,"Gubler, Max","Museum zu Allerheiligen, Schaffhausen, Inv. 1517"
6001532,"Scheibenriss mit Salomons Abgötterei",1571,http://server1102.cs.technik.fhnw.ch/bilder/23120S1.jpg,"Aman, Jos > Ammann, Jost (Jobst)","Museum zu Allerheiligen, Schaffhausen"
12927026,"Ewiger Mantel",1985,http://server1102.cs.technik.fhnw.ch/bilder/96511D1.jpg,"Rippmann, Rosmarie > Vogt-Rippmann, Rosmarie","Museum zu Allerheiligen, Schaffhausen"
10006539,"Scheibenriss: Hase, von Hunden gestellt",1574,http://server1102.cs.technik.fhnw.ch/bilder/23231S1.jpg,"Blepp, Hans Jakob > Plepp, Hans Jakob (Johann Jakob)","Museum zu Allerheiligen, Schaffhausen, B 68"
9888875,"Scheibenriss-Mittelfeld mit einem Gelehrten",1620,http://server1102.cs.technik.fhnw.ch/bilder/23155S1.jpg,"Ringglli, Gotthard > Ringgli, Gotthard (Gotthardt, Gotthart)","Museum zu Allerheiligen, Schaffhausen, B 82"
10014778,Fides,1610,http://server1102.cs.technik.fhnw.ch/bilder/23249S1.jpg,"Ringglli, Gotthard > Ringgli, Gotthard (Gotthardt, Gotthart)","Museum zu Allerheiligen, Schaffhausen, B 25"
