HAUPTNR,TITEL,JAHR,URL,NAMIDENT
6004325,Landschaft,1910,http://server1102.cs.technik.fhnw.ch/bilder/51259DS1.jpg,"Barraud, Maurice"
12431006,"Mlle de Saussure",1910,http://server1102.cs.technik.fhnw.ch/bilder/91392D1.jpg,"Barraud, Maurice"
9951687,"Ohne Titel",1910,http://server1102.cs.technik.fhnw.ch/bilder/61656E1.jpg,"Graeser, Camille Louis"
11434701,"Il frumento",1910,http://server1102.cs.technik.fhnw.ch/bilder/86530CE1.jpg,"Rossi, Luigi"
11434723,"Passeggiata domenicale. Costa dell'Atlantico",1910,http://server1102.cs.technik.fhnw.ch/bilder/86531CE1.jpg,"Rossi, Luigi"
9944764,"Der Sammler",1910,http://server1102.cs.technik.fhnw.ch/bilder/35038S1.jpg,"Frei-Wenk, Hans"
11754932,"Drei Jünglinge",1910,http://server1102.cs.technik.fhnw.ch/bilder/88833E1.jpg,"Huber, Hermann"
9959347,"Drei Musikantinnen mit Mandelaugen vor grüner Landschaft",1910,http://server1102.cs.technik.fhnw.ch/bilder/30017C1.jpg,"Huber, Hermann"
14076456,"Figürliche Komposition",1910,http://server1102.cs.technik.fhnw.ch/bilder/1503130015DS1.jpg,"Huber, Hermann"
10126717,"Le Pont de Fer",1910,http://server1102.cs.technik.fhnw.ch/bilder/48940DS1.jpg,"Morach, Otto"
10128221,"Banlieue de Paris",1910,http://server1102.cs.technik.fhnw.ch/bilder/48943DS1.jpg,"Morach, Otto"
10124890,Industriequartier,1910,http://server1102.cs.technik.fhnw.ch/bilder/28716C1.jpg,"Morach, Otto"
9971107,"Gelbe Scheune II",1910,http://server1102.cs.technik.fhnw.ch/bilder/55862C1.jpg,"Kündig, Reinhold"
11635436,Selbstporträt,1910,http://server1102.cs.technik.fhnw.ch/bilder/87692D1.jpg,"Kündig, Reinhold"
12969678,"In der Sonne",1910,http://server1102.cs.technik.fhnw.ch/bilder/97524DS2.jpg,"Kündig, Reinhold"
11635357,"Abstrakte Landschaft",1910,http://server1102.cs.technik.fhnw.ch/bilder/87691D1.jpg,"Kündig, Reinhold"
11638471,"Les tournesols",1910,http://server1102.cs.technik.fhnw.ch/bilder/88112D1.jpg,"Biéler, Ernest"
12476207,"Le vigneron",1910,http://server1102.cs.technik.fhnw.ch/bilder/91830D1.jpg,"Biéler, Ernest"
14024793,"Saviésan à la pipe",1910,http://server1102.cs.technik.fhnw.ch/bilder/1412020007D1.jpg,"Biéler, Ernest"
6013359,Brienzersee,1910,http://server1102.cs.technik.fhnw.ch/bilder/9963D1.jpg,"Buri, Max Alfred"
