HAUPTNR,TITEL,JAHR,URL,NAMIDENT
9783973,Aggression,1955,http://server1102.cs.technik.fhnw.ch/bilder/23500S1.jpg,"Luginbühl, Bernhard"
9784688,"Stengel mit Rohrbogen",1969,http://server1102.cs.technik.fhnw.ch/bilder/67663S1.jpg,"Luginbühl, Bernhard"
9787392,"Porträt HL",1948,http://server1102.cs.technik.fhnw.ch/bilder/77664DIV1.jpg,"Luginbühl, Bernhard"
9795681,"Punch II",1966,http://server1102.cs.technik.fhnw.ch/bilder/77818S1.jpg,"Luginbühl, Bernhard"
9789220,Spatzenkanone,1955,http://server1102.cs.technik.fhnw.ch/bilder/77687DIV1.jpg,"Luginbühl, Bernhard"
9795661,"Kleine Aggression Ipsach",1961,http://server1102.cs.technik.fhnw.ch/bilder/77815DIV1.jpg,"Luginbühl, Bernhard"
9806308,Donauatlas,1977,http://server1102.cs.technik.fhnw.ch/bilder/77894DIV1.jpg,"Luginbühl, Bernhard"
9803202,"Kleiner Punch",1965,http://server1102.cs.technik.fhnw.ch/bilder/77880DIV1.jpg,"Luginbühl, Bernhard"
9803146,"Stengel mit Welle",1968,http://server1102.cs.technik.fhnw.ch/bilder/77870S1.jpg,"Luginbühl, Bernhard"
9803151,"Stengel mit Nieten",1968,http://server1102.cs.technik.fhnw.ch/bilder/77871DIV1.jpg,"Luginbühl, Bernhard"
9794201,"Kleines Modell I zur C-Figur Noldi",1960,http://server1102.cs.technik.fhnw.ch/bilder/77797DIV1.jpg,"Luginbühl, Bernhard"
9793104,"Grosser Frosch BL 105",1996,http://server1102.cs.technik.fhnw.ch/bilder/77745DIV1.jpg,"Luginbühl, Bernhard"
9803162,"Giraffe mit Nieten",1968,http://server1102.cs.technik.fhnw.ch/bilder/77875S1.jpg,"Luginbühl, Bernhard"
9803166,"Kleiner Stengel II",1974,http://server1102.cs.technik.fhnw.ch/bilder/77877DIV1.jpg,"Luginbühl, Bernhard"
9803240,"Kleiner Osakapunch II",1969,http://server1102.cs.technik.fhnw.ch/bilder/77884S1.jpg,"Luginbühl, Bernhard"
9793112,"Kleines Modell zu Silvester. Prototyp",1999,http://server1102.cs.technik.fhnw.ch/bilder/77746S1.jpg,"Luginbühl, Bernhard"
9811202,"Figur, mittlere Version",1996,http://server1102.cs.technik.fhnw.ch/bilder/78139DIV1.jpg,"Luginbühl, Bernhard"
9792680,"Grosser Boss",1972,http://server1102.cs.technik.fhnw.ch/bilder/77727DIV1.jpg,"Luginbühl, Bernhard"
9803308,Silberschwan,1978,http://server1102.cs.technik.fhnw.ch/bilder/77888DIV1.jpg,"Luginbühl, Bernhard"
9794220,"Raumhaken Typ E II",1975,http://server1102.cs.technik.fhnw.ch/bilder/77802DIV1.jpg,"Luginbühl, Bernhard"
